diseaseLabel,specialtyLabel
Interstitial pregnancy,obstetrics and gynaecology
Pacemaker failure,emergency medicine
latent iron deficiency,endocrinology
progestin-induced virilisation,endocrinology
progestin-induced virilisation,gynaecology
achondrogenesis type II,medical genetics
Mild androgen insensitivity syndrome,endocrinology
hyperkinetic disorder,psychiatry
Hereditary CNS demyelinating disease,neurology
Hereditary CNS demyelinating disease,endocrinology
Hereditary CNS demyelinating disease,medical genetics
intraocular hemorrhage,ophthalmology
Calcium channel blocker toxicity,emergency medicine
hemorrhagic smallpox,infectious diseases
Cenani-Lenz syndactyly syndrome,medical genetics
selective IgG deficiency disease,hematology
Pineocytoma,oncology
Pilon fracture,orthopedic surgery
Minor's disease,neurology
ethylmalonic encephalopathy,neurology
haemophilus meningitis,neurology
Hyperglycerolemia,endocrinology
iridocorneal endothelial syndrome,ophthalmology
Idiopathic giant-cell myocarditis,cardiology
Lateral pontine syndrome,neurology
Injury of axillary nerve,emergency medicine
tinea,dermatology
tinea,infectious diseases
Hereditary neuralgic amyotrophy,neurology
Light chain deposition disease,oncology
Nance-Horan syndrome,medical genetics
Tooth mobility,oral and maxillofacial surgery
papular mucinosis,dermatology
hypergammaglobulinemia,immunology
hypergammaglobulinemia,hematology
erythema annulare centrifugum,dermatology
T-cell prolymphocytic leukemia,immunology
T-cell prolymphocytic leukemia,oncology
T-cell prolymphocytic leukemia,angiology
Paroxysmal sympathetic hyperactivity,neurology
Pachygyria,neurology
Pachygyria,medical genetics
lumbar spinal stenosis,rheumatology
Impacted wisdom,dentistry
systolic heart failure,cardiology
afferent loop syndrome,gastroenterology
Hemimelia,medical genetics
plasmablastic lymphoma,oncology
soft tissue neoplasm,oncology
kidney infection,urology
kidney infection,nephrology
maxillary sinus cancer,oncology
collapse,cardiology
cervical rib syndrome,cardiology
cervical rib syndrome,neurology
Faroe SUCLA2 related disease,medical genetics
Autoimmune autonomic ganglionopathy,neurology
vaginal hypoplasia,gynaecology
vulvar disease,obstetrics and gynaecology
Chapare hemorrhagic fever,infectious diseases
Omental infarction,gastroenterology
Fuhrmann syndrome,medical genetics
Holzgreve-Wagner-Rehder Syndrome,medical genetics
Owren's disease,hematology
Owren's disease,medical genetics
cerebral toxoplasmosis,infectious diseases
pestis minor,infectious diseases
lower respiratory tract disease,pulmonology
parasitic Ichthyosporea infectious disease,infectious diseases
LADD syndrome,medical genetics
muscular dystrophy-dystroglycanopathy,neurology
biliary tract neoplasm,gastroenterology
biliary tract neoplasm,oncology
organ system cancer,oncology
Y-linked disease,medical genetics
progressive relapsing multiple sclerosis,neurology
progressive relapsing multiple sclerosis,immunology
tricuspid valve disease,cardiology
generalized dystonia,neurology
thoracic disease,pulmonology
Crohn's colitis,gastroenterology
amyotrophic lateral sclerosis type 1,neurology
Smith-Magenis syndrome,neurology
Smith-Magenis syndrome,medical genetics
gastrointestinal system disease,gastroenterology
neuritis,neurology
spinocerebellar ataxia type 13,neurology
chronic lower respiratory diseases,pulmonology
variant Creutzfeldt–Jakob disease,infectious diseases
Eosinophilic fasciitis,rheumatology
asthenozoospermia,urology
depersonalization disorder,psychiatry
neurogenic bladder,urology
metabolic disease,endocrinology
struma ovarii,oncology
strongyloidiasis,infectious diseases
strongyloidiasis,helminthologist
Werdnig–Hoffmann disease,neurology
clostridial necrotizing enteritis,infectious diseases
Ollier disease,medical genetics
cervical disc herniation,neurology
tauopathy,neurology
acute kidney tubular necrosis,nephrology
posterior tibial tendon dysfunction,rheumatology
reactive airway disease,pulmonology
recurrent corneal erosion,ophthalmology
skin infection,dermatology
cervicitis,gynaecology
reticular erythematous mucinosis,dermatology
varicose ulcer,dermatology
cardiogenic shock,cardiology
Focal infection of oral origin,oral and maxillofacial surgery
obstetrical hemorrhage,obstetrics
adrenal insufficiency,endocrinology
pitted keratolysis,dermatology
Rhinophyma,dermatology
growth disorder,pediatrics
Plagiocephaly,medical genetics
hypereosinophilic syndrome,hematology
angiostrongyliasis,infectious diseases
Abrachia,medical genetics
Skumin syndrome,psychiatry
Skumin syndrome,cardiac surgery
post-concussion syndrome,psychiatry
post-concussion syndrome,neurology
sinus arrhythmia,cardiology
upper respiratory tract infection,pulmonology
Latrodectism,emergency medicine
Proctalgia fugaz,gastroenterology
abnormal uterine bleeding,gynaecology
atypical pneumonia,pulmonology
furunculosis,veterinary medicine
furunculosis,dermatology
furunculosis,infectious diseases
eye injury,neurology
eye injury,ophthalmology
Ramsay Hunt syndrome,neurology
alopecia,dermatology
Idiopathic Hypersomnia,neurology
autosomal dominant polycystic kidney,medical genetics
lymph node metastasis,oncology
essential fructosuria,endocrinology
vascular disease of the extremities,cardiology
factor XII deficiency,hematology
factor XII deficiency,medical genetics
Neuhauser anomaly,medical genetics
anthropozoonosis,infectious diseases
simple-type schizophrenia,psychiatry
kyphoscoliosis,medical genetics
ascending aortic aneurysm,cardiology
aneurysm of hepatic artery,cardiology
Kjer's optic neuropathy,neurology
mesenteric adenitis,hematology
nephrogenic diabetes insipidus,nephrology
folate deficiency,endocrinology
brachymetatarsia,rheumatology
brachymetatarsia,medical genetics
health effects of caffeine,psychiatry
health effects of caffeine,emergency medicine
Capillaritis,dermatology
"Congenital cataracts, facial dysmorphism, and neuropathy",medical genetics
cervical osteoarthritis,rheumatology
Conradi–Hünermann syndrome,medical genetics
chromhidrosis,dermatology
Toxic multinodular goitre,endocrinology
photodermatosis,dermatology
polymicrogyria,neurology
femoral neuralgia,rheumatology
cytolytic hepatitis,gastroenterology
univentricular heart,medical genetics
total anomalous pulmonary venous connection,medical genetics
necrotizing bacterial dermohypodermitis,dermatology
Diastematomyelia,medical genetics
distomatosis,infectious diseases
distomatosis,helminthology
"hip dysplasia, Beukes type",medical genetics
frontometaphyseal dysplasia,medical genetics
bullous emphysema,pulmonology
paranoid psychosis,psychiatry
congenital insensitivity to pain,neurology
zygomycosis,infectious diseases
ectopic testis,medical genetics
bone resorption disease,rheumatology
compensatory emphysema,pulmonology
intracranial abscess,neurology
hyperpigmentation of eyelid,neurology
acute hydrops keratoconus,neurology
Meckel's diverticulum cancer,oncology
lipoma of spermatic cord,oncology
slate pneumoconiosis,pulmonology
lymphoblastic leukemia,oncology
seminal vesicle chronic gonorrhea,infectious diseases
hypopyon ulcer,neurology
ring corneal ulcer,neurology
orbital granuloma,neurology
chronic fungal otitis externa,neurology
acute infection of pinna,neurology
acute anterolateral myocardial infarction,cardiology
residual stage of open angle glaucoma,neurology
cerebral lipidosis,neurology
chronic frontal sinusitis,pulmonology
frontal sinusitis,pulmonology
chronic sphenoidal sinusitis,pulmonology
acute gonococcal epididymo-orchitis,infectious diseases
malignant essential hypertension,cardiology
middle ear cholesterol granuloma,neurology
gastrojejunal ulcer,gastroenterology
acute salpingo-oophoritis,urology
salpingo-oophoritis,urology
prostatic cyst,urology
total internal ophthalmoplegia,neurology
pseudomembranous conjunctivitis,neurology
Angelucci's syndrome,neurology
appendiceal neoplasm,gastroenterology
appendiceal neoplasm,oncology
chronic apical periodontitis,gastroenterology
functional diarrhea,gastroenterology
spinal meningioma,neurology
spinal meningioma,oncology
cerebral arteritis,cardiology
alternating exotropia,neurology
endometriosis of intestine,urology
autonomic nervous system disease,neurology
subglottis cancer,oncology
idiopathic peripheral autonomic neuropathy,neurology
acquired night blindness,neurology
autonomic neuropathy,neurology
corneal abscess,neurology
Bowman's membrane folds or rupture,neurology
acute serous otitis media,neurology
bladder lateral wall cancer,oncology
pericardium cancer,oncology
penile neoplasm,urology
penile neoplasm,oncology
hypopigmentation of eyelid,neurology
hypotrichosis of eyelid,neurology
parametrium malignant neoplasm,oncology
acute endophthalmitis,neurology
spontaneous ocular nystagmus,neurology
urinary bladder anterior wall cancer,oncology
vitreous syneresis,neurology
glans penis cancer,oncology
peripheral focal chorioretinitis,neurology
macular keratitis,neurology
ureteral benign neoplasm,obstetrics and gynaecology
ureteral benign neoplasm,urology
ureteral benign neoplasm,oncology
inflammatory spondylopathy,rheumatology
senile reticular retinal degeneration,neurology
cobblestone retinal degeneration,neurology
secondary vitreoretinal degeneration,neurology
superficial keratitis,neurology
conjunctival pigmentation,neurology
male genital organ stricture,urology
primary eye hypotony,neurology
viral labyrinthitis,neurology
thyrotoxic exophthalmos,neurology
corneal degeneration,neurology
spastic entropion,neurology
luxation of globe,neurology
hepatic coma,gastroenterology
displacement of cardia through esophageal hiatus,medical genetics
abnormal retinal correspondence,neurology
chronic gonococcal salpingitis,infectious diseases
lacrimal duct cancer,oncology
choroid cancer,oncology
senile entropion,neurology
rectal disease,gastroenterology
Phlegmonous dacryocystitis,neurology
cicatricial lagophthalmos,neurology
tinea unguium,dermatology
intracranial arterial disease,cardiology
intracranial arterial disease,neurology
gonococcal spondylitis,infectious diseases
exophthalmic ophthalmoplegia,neurology
benign secondary hypertension,cardiology
substernal goiter,endocrinology
submucous uterine fibroid,oncology
retinal dystrophies primarily involving Bruch's membrane,neurology
bronchus cancer,oncology
diverticulitis of colon,gastroenterology
hypertrophy of tongue papillae,gastroenterology
atypical chronic myeloid leukemia,oncology
Myelodysplastic–myeloproliferative diseases,hematology
renal hypertension,cardiology
intermittent hydrarthrosis,rheumatology
ovarian neoplasm,oncology
multiple primary neoplasms,oncology
New daily persistent headache,neurology
myoclonic epilepsy,neurology
nasal cancer,oncology
nasal cancer,otolaryngology
nasal cancer,pulmonology
nasal cancer,rheumatology
Newcastle disease,veterinary medicine
Newcastle disease,infectious diseases
chronic rhinitis,pulmonology
lymphosarcoma,oncology
allergic asthma,pulmonology
Vater,internal medicine
primary open angle glaucoma,neurology
primary angle-closure glaucoma,neurology
eyelid neoplasm,ophthalmology
eyelid neoplasm,oncology
Tokak,dermatology
hidradenoma,oncology
Hand–Schüller–Christian disease,hematology
periodic limb movement disorder,neurology
pulmonary tuberculosis,infectious diseases
Çala,veterinary medicine
Lentigo maligna,oncology
Lentigo maligna,dermatology
uremia,urology
colic,urology
colic,gastroenterology
colic,pediatrics
osteochondritis,rheumatology
thyroid neoplasm,oncology
kidney neoplasm,obstetrics and gynaecology
kidney neoplasm,urology
kidney neoplasm,oncology
fractures of human teeth,oral and maxillofacial surgery
tubal pregnancy,obstetrics and gynaecology
Hot tub folliculitis,dermatology
benzodiazepine abuse,psychiatry
benzodiazepine abuse,narcology
benzodiazepine abuse,addiction medicine
Frontotemporal dementia and parkinsonism linked to chromosome 17,neurology
inborn error of lipid metabolism,endocrinology
Anotia,medical genetics
lung neoplasm,oncology
lung neoplasm,pulmonology
seasickness,neurology
seasickness,emergency medicine
hereditary motor and sensory neuropathy,neurology
pneumocystis pneumonia,pulmonology
pneumocystis pneumonia,infectious diseases
amoebic dysentery,infectious diseases
Asymptomatic inflammatory prostatitis,urology
infective psychosis,psychiatry
infective psychosis,infectious diseases
calcaneal spur,rheumatology
tarsal coalition,rheumatology
chylous ascites,gastroenterology
autosomal recessive limb-girdle muscular dystrophy type 2S,neurology
aberrations of the eye,ophthalmology
borreliosis,infectious diseases
intestinal neoplasm,gastroenterology
intestinal neoplasm,oncology
dicarboxylic aminoaciduria,endocrinology
emphysematous cystitis,infectious disease
Wuchereria bancrofti filariasis,infectious diseases
Unna–Thost disease,medical genetics
undifferentiated connective tissue disease,immunology
undifferentiated connective tissue disease,rheumatology
Cervicogenic headache,neurology
Langer mesomelic dysplasia,medical genetics
Elpenor’s Syndrome,neurology
vestibular disease,otolaryngology
elephantiasis,angiology
atrophodermia vermiculata,dermatology
bare lymphocyte syndrome 2,immunology
bare lymphocyte syndrome 2,pediatrics
bare lymphocyte syndrome 2,endocrinology
persistent truncus arteriosus,medical genetics
fluoride toxicity,emergency medicine
Athletic pubalgia,sports medicine
hypervitaminosis A,endocrinology
Spontaneous bacterial peritonitis,gastroenterology
pretibial myxedema,endocrinology
femoral hernia,gastroenterology
benign cephalic histiocytosis,hematology
Hyperchlorhydria,gastroenterology
Excessive daytime sleepiness,neurology
heterophoria,ophthalmology
urinary tract infection during pregnancy,obstetrics
Toluene toxicity,emergency medicine
isomérism,medical genetics
post-schizophrenic depression,psychiatry
residual schizophrenia,psychiatry
vitamin B12 deficiency,endocrinology
childhood obesity,pediatrics
childhood obesity,endocrinology
childhood obesity,bariatric medicine
loxoscelism,emergency medicine
orotic aciduria,hematology
Charcot-Marie-Tooth disease type X,neurology
"Niemann–Pick disease, SMPD1-associated",endocrinology
Roussy–Lévy syndrome,neurology
Schamberg disease,dermatology
X-linked lymphoproliferative disease,hematology
hepatic veno-occlusive disease with immunodeficiency,gastroenterology
small intestine congenital defect,medical genetics
visceral larva migrans,infectious diseases
pervasive developmental disorder not otherwise specified,psychiatry
renovascular hypertension,cardiology
renovascular hypertension,nephrology
pain disorder,psychiatry
Jervell-Lange Nielsen syndrome,cardiology
mitral valvular inflammation,cardiology
localized scleroderma,dermatology
Menometrorrhagia,gynaecology
3-M syndrome,medical genetics
dyssegmental dysplasia,medical genetics
familial amyloid neuropathy,endocrinology
Hereditary sensory and autonomic neuropathy type I,neurology
neurological disorder,neurology
verrucous nevus,medical genetics
chronic total occlusion  of coronary artery,cardiology
epididymo-orchitis,urology
agnathia-otocephaly complex,medical genetics
Southeast Asian ovalocytosis,hematology
infantile-onset ascending hereditary spastic paralysis,neurology
parvovirus infectious disease,infectious diseases
scapular fracture,emergency medicine
PHACE association,medical genetics
pouchitis,gastroenterology
polyradiculoneuropathy,neurology
postterm pregnancy,obstetrics and gynaecology
prurigo,dermatology
pulicosis,infectious diseases
gestational trophoblastic disease,obstetrics and gynaecology
gestational trophoblastic disease,oncology
AIDS dementia complex,psychiatry
Norum disease,medical genetics
X-linked retinoschisis,medical genetics
clear-cell sarcoma,oncology
spirochetal diseases,infectious diseases
laryngeal papillomatosis,otolaryngology
CHILD syndrome,medical genetics
MASS syndrome,medical genetics
rapadilino syndrome,medical genetics
fallot complex - intellectual disability - growth delay,medical genetics
slipping rib syndrome,surgery
slipping rib syndrome,sports medicine
slipping rib syndrome,thoracic surgery
slipping rib syndrome,orthopedic surgery
Donnai-Barrow syndrome,medical genetics
Fryns syndrome,medical genetics
Grisel's syndrome,rheumatology
Masters-Allen syndrome,urology
occipital horn syndrome,endocrinology
Bare lymphocyte syndrome,hematology
Wiedemann-Rautenstrauch syndrome,endocrinology
otopalatodigital syndrome type 1,medical genetics
orofaciodigital syndrome I,medical genetics
obstructive lung disease,pulmonology
paraneoplastic neurologic syndrome,neurology
junctional ectopic tachycardia,cardiology
rotator cuff tear,traumatology
connective tissue neoplasm,oncology
connective tissue neoplasm,rheumatology
neuroectodermal tumor,oncology
epithelioma,oncology
epithelioma,dermatology
colonic neoplasm,gastroenterology
colonic neoplasm,oncology
hereditary mucosal leukokeratosis,oral medicine
Leiner's disease,dermatology
acne keloidalis nuchae,dermatology
allomnesia,psychiatry
allomnesia,neurology
beta thalassemia,hematology
Anetoderma,dermatology
parasitic conjunctivitis,neurology
gastrointestinal anthrax,infectious diseases
pulmonary sarcoidosis,pulmonology
pulmonary sarcoidosis,angiology
perforation of bile duct,gastroenterology
basilar artery occlusion,cardiology
posterior corneal pigmentation,neurology
gonococcal synovitis,infectious diseases
central pterygium,neurology
jejunal cancer,oncology
purulent labyrinthitis,neurology
secondary parkinsonism,neurology
extrahepatic cholestasis,gastroenterology
polyneuropathy in collagen vascular disease,neurology
infective urethral stricture,urology
ulcer of anus and rectum,gastroenterology
neuroschistosomiasis,neurology
neuroschistosomiasis,infectious diseases
hepatic infarction,gastroenterology
inclusion conjunctivitis,infectious diseases
acquired color blindness,neurology
urinary schistosomiasis,infectious diseases
acute gonococcal prostatitis,infectious diseases
lacrimal apparatus disease,neurology
algoneurodystrophy,rheumatology
toxic labyrinthitis,neurology
root caries,gastroenterology
ovarian dysfunction,endocrinology
pulp erosion,gastroenterology
ureterolithiasis,urology
polyneuropathy due to drug,neurology
chronic atticoantral disease,neurology
retinal dystrophy in systemic or cerebroretinal lipidoses,neurology
cecal disease,gastroenterology
spontaneous tension pneumothorax,pulmonology
retinal vein occlusion,cardiology
retinal vein occlusion,ophthalmology
drug psychosis,psychiatry
American histoplasmosis,infectious diseases
pituitary cancer,oncology
islet cell tumor,oncology
mononeuritis of upper limb,neurology
jaw cancer,oncology
jaw cancer,rheumatology
jaw cancer,oral and maxillofacial surgery
skull cancer,oncology
skull cancer,rheumatology
chronic rheumatic pericarditis,cardiology
intermittent squint,neurology
fallopian tube carcinoma,obstetrics and gynaecology
fallopian tube carcinoma,oncology
acute maxillary sinusitis,pulmonology
post-surgical hypoinsulinemia,endocrinology
hypertrophic elongation of cervix,urology
atrophy of prostate,urology
colonic benign neoplasm,gastroenterology
colonic benign neoplasm,oncology
West Nile encephalitis,infectious diseases
iris disease,ophthalmology
gangliocytoma,oncology
infantile epileptic encephalopathy,neurology
phosphorus metabolism disease,endocrinology
inflammatory and toxic neuropathy,neurology
granulomatous angiitis,cardiology
granulomatous angiitis,neurology
granulomatous angiitis,immunology
liver angiosarcoma,oncology
Leydig cell tumor,urology
Leydig cell tumor,oncology
Leydig cell tumor,endocrinology
rectosigmoid junction cancer,oncology
germ cell cancer,oncology
papillary carcinoma,oncology
facial dermatosis,dermatology
adult oligodendroglioma,oncology
causalgia,neurology
thymus cancer,oncology
carotid artery thrombosis,cardiology
carotid artery thrombosis,neurology
acute transudative otitis media,neurology
cranial nerve palsy,neurology
chromophobe adenoma,oncology
male reproductive organ cancer,oncology
functional colonic disease,gastroenterology
oral tuberculosis,oral and maxillofacial surgery
oral tuberculosis,infectious diseases
congenital structural myopathy,neurology
congenital structural myopathy,rheumatology
sea-blue histiocyte syndrome,neurology
sea-blue histiocyte syndrome,endocrinology
sea-blue histiocyte syndrome,angiology
sea-blue histiocyte syndrome,medical genetics
sarcomatoid renal cell carcinoma,obstetrics and gynaecology
sarcomatoid renal cell carcinoma,urology
sarcomatoid renal cell carcinoma,oncology
biliary tract cancer,oncology
subependymal glioma,oncology
benign ependymoma,oncology
anal carcinoma,gastroenterology
anal carcinoma,oncology
stable angina,cardiology
central sleep apnea,neurology
optic atrophy,neurology
pulmonary blastoma,oncology
first-degree atrioventricular block,cardiology
keratosis,dermatology
keratosis,medical genetics
vernal conjunctivitis,ophthalmology
amyotrophic lateral sclerosis and frontotemporal dementia,neurology
endoleak,cardiology
epiblepharon,medical genetics
accommodative esotropia,neurology
seasonal allergic rhinitis,immunology
seasonal allergic rhinitis,otolaryngology
seasonal allergic rhinitis,pulmonology
cannabis dependence,psychiatry
Transient acantholytic dermatosis,dermatology
lymphomatoid granulomatosis,immunology
lymphomatoid granulomatosis,oncology
lymphomatoid granulomatosis,angiology
Subdural hygroma,neurology
ileitis,gastroenterology
X-linked ichthyosis,medical genetics
lamellar ichthyosis,medical genetics
oxycephaly,medical genetics
Leukoedema,gastroenterology
Lymphangiectasia,angiology
primary effusion lymphoma,immunology
primary effusion lymphoma,oncology
primary effusion lymphoma,angiology
splenic marginal zone lymphoma,oncology
luteoma,oncology
acute erythroid leukemia,hematology
acute erythroid leukemia,oncology
Salla disease,neurology
Salla disease,endocrinology
syphilitic meningitis,infectious diseases
staphylococcal meningitis,neurology
Microspherophakia,medical genetics
atheroembolic renal disease,nephrology
malignant otitis externa,neurology
Zenker's paralysis,neurology
hepatic porphyria,endocrinology
progenism,oral and maxillofacial surgery
radial scar,mastology
drug reaction with eosinophilia and systemic symptoms,immunology
drug reaction with eosinophilia and systemic symptoms,dermatology
cold-induced sweating syndrome,medical genetics
Rabson–Mendenhall syndrome,endocrinology
Sudeck's syndrome,neurology
gyromitrin syndrome,emergency medicine
spondylarthrosis,rheumatology
steatocystoma multiplex,dermatology
hereditary stomatocytosis,hematology
congenital torticollis,medical genetics
marginal corneal ulcer,neurology
gastric ulcer,gastroenterology
hypersensitivity vasculitis,cardiology
xanthomatosis,endocrinology
parathyroid adenoma,oncology
acanthocheilonemiasis,infectious diseases
alcoholic neuropathy,neurology
alveolar soft part sarcoma,oncology
Dural arteriovenous fistula,interventional neuroradiology
binasal hemianopsia,ophthalmology
Simmonds' cachexia,endocrinology
Brugia malayi filariasis,infectious diseases
Brugia malayi filariasis,tropical medicine
congenital adrenal hyperplasia due to 17 alpha-hydroxylase deficiency,obstetrics and gynaecology
congenital adrenal hyperplasia due to 17 alpha-hydroxylase deficiency,endocrinology
congenital adrenal hyperplasia due to 17 alpha-hydroxylase deficiency,medical genetics
congenital adrenal hyperplasia due to 21-hydroxylase deficiency,endocrinology
congenital adrenal hyperplasia due to 3 beta-hydroxysteroid dehydrogenase deficiency,endocrinology
substance-related disorder,psychiatry
substance-related disorder,clinical psychology
substance-related disorder,narcology
substance-related disorder,addiction medicine
haematomyelia,neurology
vitamin D deficiency,endocrinology
Thiamine deficiency,nutrition
ariboflavinosis,nutrition
vitamin K deficiency,endocrinology
delusional dysmorphophobia,psychiatry
Sphincter of Oddi dysfunction,gastroenterology
complications of diabetes mellitus,endocrinology
"emotionally unstable personality disorder, impulsive type",psychiatry
arterial tortuosity syndrome,cardiology
gastrointestinal myiasis,infectious diseases
Hurthle cell,oncology
dermal myiasis,infectious diseases
mycobacterium infectious disease,infectious diseases
buphthalmos,medical genetics
infection of the central nervous system,neurology
airway obstruction,pulmonology
stomach neoplasm,gastroenterology
stomach neoplasm,oncology
tongue neoplasm,oncology
tongue neoplasm,oral and maxillofacial surgery
central nervous system neoplasm,neurology
central nervous system neoplasm,oncology
cerebro-costo-mandibular syndrome,medical genetics
autosomal dominant optic atrophy,neurology
autosomal dominant optic atrophy,ophthalmology
autosomal dominant optic atrophy,endocrinology
autosomal dominant optic atrophy,medical genetics
Cardiac Edema,cardiology
Adenoacanthoma,oncology
fetal death,obstetrics and gynaecology
mycotoxicosis,medical toxicology
microvascular angina,cardiology
complex cortical dysplasia with other brain malformations 1,medical genetics
familial cold autoinflammatory syndrome 3,dermatology
Q31895802,military medicine
torsion dystonia 2,neurology
dystonia 12,neurology
osteoporosis-pseudoglioma syndrome,medical genetics
microphthalmia with limb anomalies,medical genetics
juvenile onset Parkinson disease 19A,neurology
Warburg micro syndrome 2,medical genetics
neurodegeneration with brain iron accumulation 4,neurology
neurodegeneration with brain iron accumulation 5,neurology
hereditary spastic paraplegia 41,neurology
hereditary spastic paraplegia 55,neurology
hereditary spastic paraplegia 5A,neurology
brachydactyly type A2,medical genetics
Ambras type hypertrichosis universalis congenita,medical genetics
hyperphosphatemic familial tumoral calcinosis,rheumatology
focal segmental glomerulosclerosis 6,urology
Ideophrenia,psychiatry
hemimegalencephaly,neurology
hemimegalencephaly,rheumatology
choristoma,pathology
choristoma,medical genetics
Non-progressive congenital ataxia,neurology
Non-progressive congenital ataxia,medical genetics
retinal neovascularization,ophthalmology
paroxysmal hemicrania,neurology
cingulate herniation,neurology
transtentorial herniation,neurology
apathy-aboulia syndrome,psychiatry
jaw disease,rheumatology
jaw disease,oral and maxillofacial surgery
geographic atrophy,ophthalmology
amyelia,medical genetics
Soemmering ring,ophthalmology
vulvar neoplasm,obstetrics and gynaecology
vulvar neoplasm,oncology
pulmonary arteriovenous malformations,cardiology
Nipah virus infection,infectious diseases
hereditary optic atrophy,neurology
hereditary optic atrophy,ophthalmology
hereditary optic atrophy,medical genetics
knee dislocation,orthopedic surgery
abdominal fibromatosis,oncology
edentulous jaw,rheumatology
edentulous jaw,oral and maxillofacial surgery
angular pregnancy,obstetrics and gynaecology
adult lead poisoning of the nervous system,neurology
ventricular dysfunction,cardiology
prenatal exposure delayed effects,obstetrics and gynaecology
cocarcinogenesis,oncology
parasitic skin disease,dermatology
parasitic skin disease,infectious diseases
viral skin disease,dermatology
viral skin disease,infectious diseases
mesial movement of teeth,oral and maxillofacial surgery
vascular calcification,endocrinology
sepsis-associated encephalopathy,neurology
cystic mesothelioma,oncology
autosomal recessive hypohidrotic ectodermal dysplasia,dermatology
autosomal recessive hypohidrotic ectodermal dysplasia,medical genetics
necrobiotic disorders,dermatology
necrobiotic disorders,rheumatology
iliac aneurysm,cardiology
paucibacillary leprosy,infectious diseases
bites and stings,medical toxicology
amyloid neuropathy,neurology
amyloid neuropathy,endocrinology
eye abnormalities,ophthalmology
digestive system abnormality,gastroenterology
Upper-extremity deep vein thrombosis,cardiology
accessory nerve injury,neurology
leukemic infiltration,oncology
childhood lead poisoning of the nervous system,neurology
prostatic intraepithelial neoplasia,oncology
esophageal and gastric varices,gastroenterology
fungal infection of the central nervous system,neurology
fungal infection of the central nervous system,infectious diseases
cardiovascular abnormality,cardiology
Birnaviridae infection,infectious diseases
avian sarcoma,oncology
avian sarcoma,veterinary medicine
avian sarcoma,infectious diseases
Circoviridae infection,infectious diseases
cutaneous fistula,dermatology
cobblestone lissencephaly,neurology
multibacillary leprosy,infectious diseases
dental fissure,dentistry
olfactory nerve injury,neurology
central nervous system trauma,neurology
infectious encephalitis,neurology
rotator cuff tear arthropathy,rheumatology
intracranial embolism and thrombosis,cardiology
intracranial embolism and thrombosis,neurology
vagus nerve injury,neurology
perimeningeal infections,neurology
primary headache disorder,neurology
female urogenital disease,obstetrics and gynaecology
otorhinolaryngologic neoplasm,oncology
otorhinolaryngologic neoplasm,otolaryngology
epithelioid leiomyoma,oncology
ocular anterior capsular rupture,ophthalmology
tooth demineralization,oral and maxillofacial surgery
internal carotid artery dissection,cardiology
internal carotid artery dissection,neurology
acquired hand deformity,rheumatology
hypoglossal nerve injury,neurology
fracture dislocation,rheumatology
glomus tympanicum tumor,oncology
parasitic pregnancy complication,obstetrics and gynaecology
parasitic pregnancy complication,infectious diseases
intestinal fistula,gastroenterology
nervous system paraneoplastic syndrome,neurology
nervous system paraneoplastic syndrome,oncology
reproductive tract infection,obstetrics and gynaecology
reproductive tract infection,urology
mouth abnormality,oral and maxillofacial surgery
abducens nerve injury,neurology
extra-adrenal paraganglioma,oncology
REM sleep parasomnia,neurology
complete edentulism,oral and maxillofacial surgery
diffuse brain injury,neurology
male urogenital disease,urology
slipped epiphysis,rheumatology
trochlear nerve injury,neurology
lead poisoning of the nervous system,neurology
hand congenital deformity,rheumatology
pulmonary adenomatosis,oncology
dental pulp exposure,oral and maxillofacial surgery
proteostasis deficiency,endocrinology
cytophagaceae infection,infectious diseases
vascular system injury,cardiology
intestinal lymphangiectasis,angiology
mandibular injury,neurology
sex chromosome disorder of sex development,obstetrics and gynaecology
sex chromosome disorder of sex development,endocrinology
sex chromosome disorder of sex development,medical genetics
malunited fracture,rheumatology
optic nerve injury,neurology
optic nerve injury,ophthalmology
collagenous sprue,gastroenterology
collagenous sprue,endocrinology
ovotesticular disorder of sex development,obstetrics and gynaecology
ovotesticular disorder of sex development,endocrinology
maxillofacial abnormality,rheumatology
maxillofacial abnormality,oral and maxillofacial surgery
periapical disease,oral and maxillofacial surgery
central nervous system protozoal infection,neurology
central nervous system protozoal infection,infectious diseases
maxillary fracture,neurology
hereditary angioedema type III,cardiology
hereditary angioedema type III,immunology
hereditary angioedema type III,dermatology
premature infant disease,pediatrics
adnexal disease,obstetrics and gynaecology
local neoplasm recurrence,oncology
stomatognathic system abnormality,oral and maxillofacial surgery
hypophosphatemic rickets,endocrinology
hypophosphatemic rickets,rheumatology
hypophosphatemic rickets,nutrition
"hyper-IgM immunodeficiency syndrome, Type 1",immunology
"hyper-IgM immunodeficiency syndrome, Type 1",hematology
"hyper-IgM immunodeficiency syndrome, Type 1",medical genetics
large-cell immunoblastic lymphoma,immunology
large-cell immunoblastic lymphoma,oncology
large-cell immunoblastic lymphoma,angiology
congenital foot deformity,rheumatology
neurobehavioral manifestation,neurology
pelvic infection,infectious diseases
central nervous system vascular malformation,cardiology
central nervous system vascular malformation,neurology
insulin coma,neurology
insulin coma,endocrinology
central nervous system bacterial infection,neurology
central nervous system bacterial infection,infectious diseases
liver parasitic disease,gastroenterology
liver parasitic disease,infectious diseases
candidemia,infectious diseases
